"Id","Distance","Steps","Calories","Intensity","METs","meanHrtRate","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed"
1503960366,243,374546,56287,11594,11943,NA,27,9007,9580
1624580081,120,177750,45980,5917,9192,NA,NA,NA,NA
1644430081,159,217927,84125,7448,9982,NA,4,1176,1384
1844505072,52,79942,48681,3671,8687,NA,3,1956,2883
1927972279,19,28400,67347,1367,7831,NA,8,2085,2189
2022484408,247,351712,77633,12535,12459,80,NA,NA,NA
2026352035,110,172068,47775,7958,10241,89,28,14173,15054
2320127002,97,146035,53328,6426,9670,NA,1,61,69
2347167796,114,171337,36729,6012,6506,75,15,6702,7370
2873212765,159,234130,59059,11115,11253,NA,NA,NA,NA
3372868164,95,137057,38589,7259,6865,NA,NA,NA,NA
3977333714,226,328244,45302,10599,10739,NA,32,8222,12912
4020332650,47,68399,73933,3190,8924,83,8,2795,3038
4057192912,11,15305,7849,431,1062,NA,NA,NA,NA
4319703577,149,209464,61904,8189,10179,NA,27,12393,13051
4388161847,262,319765,94167,10519,12030,65,31,9675,10229
4445114986,103,148548,67721,7198,9803,NA,39,10785,11671
4558609924,153,237909,63046,10635,11290,80,5,638,700
4702921684,214,265559,91891,9453,10902,NA,30,11792,12375
5553957443,175,266906,58134,9376,10573,66,38,14368,15682
5577150313,187,248519,100816,14086,13244,67,27,11232,11976
6117666160,150,185673,60558,8277,9707,83,22,8618,9183
6290855005,122,163678,75377,7049,8775,NA,NA,NA,NA
6775888955,47,65371,55551,2668,7226,89,3,1049,1107
6962181067,206,303621,61461,10889,11404,75,34,13888,14450
7007744171,206,294409,66129,10566,10190,90,2,137,143
7086361926,199,287503,79341,9942,11670,NA,24,10875,11194
8053475328,356,457463,91310,13193,12506,NA,3,891,905
8253242879,88,122838,33812,3925,5703,NA,NA,NA,NA
8378563200,216,269705,106427,10921,11748,NA,36,14187,15466
8583815059,175,176200,79402,6556,9442,NA,NA,NA,NA
8792009665,35,53750,56740,2980,8077,72,15,6535,6807
8877689391,408,495623,105746,14025,14432,76,NA,NA,NA
